percept_x1,percept_x2,object_id,object_phi_x1,object_phi_x2,cluster_id,cluster_mu_x1,cluster_mu_x2,category_id
-0.98,-0.325,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.889,0.16,17,-0.391,-0.053,2,-0.097,-0.028,1
0.291,-0.101,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.84,-0.524,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.41,0.043,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.778,-0.378,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.191,-0.569,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.224,0.335,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.38,-0.04,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.471,0.233,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.783,0.061,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.676,-0.003,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.263,-0.101,17,-0.391,-0.053,2,-0.097,-0.028,1
-1.247,-0.253,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.936,-0.219,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.184,0.81,17,-0.391,-0.053,2,-0.097,-0.028,1
0.049,-0.041,17,-0.391,-0.053,2,-0.097,-0.028,1
-0.946,-0.304,17,-0.391,-0.053,2,-0.097,-0.028,1
-1.473,0.604,6,-1.139,0.969,3,-0.987,0.035,1
-0.894,0.813,6,-1.139,0.969,3,-0.987,0.035,1
-0.85,1.158,6,-1.139,0.969,3,-0.987,0.035,1
-0.629,0.768,6,-1.139,0.969,3,-0.987,0.035,1
-0.745,1.356,6,-1.139,0.969,3,-0.987,0.035,1
-0.538,1.128,6,-1.139,0.969,3,-0.987,0.035,1
-1.416,1.344,6,-1.139,0.969,3,-0.987,0.035,1
-0.34,0.933,6,-1.139,0.969,3,-0.987,0.035,1
-0.853,-0.665,3,-0.35,-1.197,1,0.141,-0.253,1
-0.642,-1.219,3,-0.35,-1.197,1,0.141,-0.253,1
-0.135,-0.548,3,-0.35,-1.197,1,0.141,-0.253,1
0.014,-2.018,3,-0.35,-1.197,1,0.141,-0.253,1
-0.734,-1.888,3,-0.35,-1.197,1,0.141,-0.253,1
-0.471,-1.518,3,-0.35,-1.197,1,0.141,-0.253,1
-0.165,-0.871,4,0.43,-0.792,1,0.141,-0.253,1
0.273,-0.178,4,0.43,-0.792,1,0.141,-0.253,1
0.444,0.458,4,0.43,-0.792,1,0.141,-0.253,1
0.369,-1.101,4,0.43,-0.792,1,0.141,-0.253,1
-0.093,-0.191,4,0.43,-0.792,1,0.141,-0.253,1
0.468,0.045,20,-0.446,-0.452,3,-0.987,0.035,1
-0.042,-0.239,20,-0.446,-0.452,3,-0.987,0.035,1
-0.825,-0.434,20,-0.446,-0.452,3,-0.987,0.035,1
0.151,-0.014,20,-0.446,-0.452,3,-0.987,0.035,1
-0.304,-1.039,19,0.256,-0.863,1,0.141,-0.253,1
-0.215,-0.126,19,0.256,-0.863,1,0.141,-0.253,1
0.284,-0.706,19,0.256,-0.863,1,0.141,-0.253,1
0.999,-1.032,13,0.331,-0.352,1,0.141,-0.253,1
1.217,-0.08,13,0.331,-0.352,1,0.141,-0.253,1
-0.751,-0.876,8,-0.638,-0.888,1,0.141,-0.253,1
-0.596,-1.429,8,-0.638,-0.888,1,0.141,-0.253,1
-0.201,-0.855,1,-0.524,-0.438,1,0.141,-0.253,1
-1.106,-0.18,15,-0.65,0.039,1,0.141,-0.253,1
