percept_x1,percept_x2,object_id,object_phi_x1,object_phi_x2,cluster_id,cluster_mu_x1,cluster_mu_x2,category_id
1.439,0.523,12,0.812,-0.328,2,-0.085,0.702,2
-0.475,-0.379,12,0.812,-0.328,2,-0.085,0.702,2
1.318,0.464,12,0.812,-0.328,2,-0.085,0.702,2
1.533,-1.798,12,0.812,-0.328,2,-0.085,0.702,2
0.635,-0.724,12,0.812,-0.328,2,-0.085,0.702,2
-0.733,1.171,17,-0.654,0.767,2,-0.085,0.702,2
0.19,0.45,17,-0.654,0.767,2,-0.085,0.702,2
-0.637,0.536,17,-0.654,0.767,2,-0.085,0.702,2
-0.116,-0.077,17,-0.654,0.767,2,-0.085,0.702,2
-0.002,1.051,17,-0.654,0.767,2,-0.085,0.702,2
0.606,0.123,3,0.711,0.698,2,-0.085,0.702,2
-0.364,0.849,3,0.711,0.698,2,-0.085,0.702,2
0.481,1.024,3,0.711,0.698,2,-0.085,0.702,2
1.248,2.295,3,0.711,0.698,2,-0.085,0.702,2
1.482,0.938,3,0.711,0.698,2,-0.085,0.702,2
0.263,-0.412,2,0.293,-0.044,2,-0.085,0.702,2
-0.297,-0.071,2,0.293,-0.044,2,-0.085,0.702,2
-0.316,-0.425,2,0.293,-0.044,2,-0.085,0.702,2
-0.609,0.247,2,0.293,-0.044,2,-0.085,0.702,2
1.146,-0.212,2,0.293,-0.044,2,-0.085,0.702,2
0.604,-0.194,5,0.028,0.255,2,-0.085,0.702,2
-0.769,0.786,5,0.028,0.255,2,-0.085,0.702,2
-0.099,0.505,5,0.028,0.255,2,-0.085,0.702,2
0.273,0.626,5,0.028,0.255,2,-0.085,0.702,2
0.34,-0.822,5,0.028,0.255,2,-0.085,0.702,2
3.906,-0.69,10,3.933,0.624,3,3.163,1.569,2
4.244,-0.356,10,3.933,0.624,3,3.163,1.569,2
5.795,-0.163,10,3.933,0.624,3,3.163,1.569,2
3.882,1.206,10,3.933,0.624,3,3.163,1.569,2
3.116,0.991,10,3.933,0.624,3,3.163,1.569,2
-0.199,0.372,15,-0.24,0.352,2,-0.085,0.702,2
-0.285,-0.028,15,-0.24,0.352,2,-0.085,0.702,2
-0.198,0.03,15,-0.24,0.352,2,-0.085,0.702,2
-0.604,1.166,15,-0.24,0.352,2,-0.085,0.702,2
-1.261,0.489,15,-0.24,0.352,2,-0.085,0.702,2
0.821,1.009,9,0.45,1.412,2,-0.085,0.702,2
1.077,1.899,9,0.45,1.412,2,-0.085,0.702,2
2.038,0.09,9,0.45,1.412,2,-0.085,0.702,2
-0.2,1.153,9,0.45,1.412,2,-0.085,0.702,2
0.055,2.113,9,0.45,1.412,2,-0.085,0.702,2
-0.951,1.821,4,-0.274,1.319,2,-0.085,0.702,2
-0.211,1.443,4,-0.274,1.319,2,-0.085,0.702,2
0.347,1.292,4,-0.274,1.319,2,-0.085,0.702,2
-2.088,2.041,4,-0.274,1.319,2,-0.085,0.702,2
-1.022,1.397,4,-0.274,1.319,2,-0.085,0.702,2
0.129,1.873,1,0.574,2.281,1,0.674,1.919,2
0.078,1.826,1,0.574,2.281,1,0.674,1.919,2
0.957,2.59,1,0.574,2.281,1,0.674,1.919,2
1.108,1.836,1,0.574,2.281,1,0.674,1.919,2
0.067,2.164,1,0.574,2.281,1,0.674,1.919,2
